"island";"year";"month";"site";"coreID";"class1";"x";"dens"
"Formosa";2020;2;"AB";"C11AB5";"Bivalvia";28;3566.87898089172
"Formosa";2020;2;"AB";"C11AB6";"Bivalvia";8;1019.10828025478
"Formosa";2020;2;"AB";"C11AB7";"Bivalvia";8;1019.10828025478
"Formosa";2020;2;"AB";"C11AB8";"Bivalvia";3;382.165605095541
"Formosa";2020;2;"AB";"C11AB9";"Bivalvia";7;891.71974522293
"Orango";2018;10;"AD";"C11T0";"Bivalvia";10;884.955752212389
"Orango";2019;3;"AD";"C11T1";"Bivalvia";16;1415.92920353982
"Orango";2019;10;"AD";"C11T2";"Bivalvia";9;796.460176991151
"Formosa";2020;3;"AB";"C12AB1";"Bivalvia";20;2547.77070063694
"Formosa";2020;3;"AB";"C12AB10";"Bivalvia";1;127.388535031847
"Formosa";2020;3;"AB";"C12AB11";"Bivalvia";5;636.942675159236
"Formosa";2020;3;"AB";"C12AB12";"Bivalvia";14;1783.43949044586
"Formosa";2020;3;"AB";"C12AB2";"Bivalvia";5;636.942675159236
"Formosa";2020;3;"AB";"C12AB3";"Bivalvia";9;1146.49681528662
"Formosa";2020;3;"AB";"C12AB4";"Bivalvia";2;254.777070063694
"Formosa";2020;3;"AB";"C12AB5";"Bivalvia";8;1019.10828025478
"Formosa";2020;3;"AB";"C12AB6";"Bivalvia";36;4585.9872611465
"Formosa";2020;3;"AB";"C12AB7";"Bivalvia";0;0
"Formosa";2020;3;"AB";"C12AB8";"Bivalvia";0;0
"Formosa";2020;3;"AB";"C12AB9";"Bivalvia";0;0
"Bubaque";2020;3;"BI";"C12BI1";"Bivalvia";1;127.388535031847
"Bubaque";2020;3;"BI";"C12BI10";"Bivalvia";5;636.942675159236
"Bubaque";2020;3;"BI";"C12BI11";"Bivalvia";5;636.942675159236
"Bubaque";2020;3;"BI";"C12BI12";"Bivalvia";5;636.942675159236
"Bubaque";2020;3;"BI";"C12BI2";"Bivalvia";8;1019.10828025478
"Bubaque";2020;3;"BI";"C12BI3";"Bivalvia";5;636.942675159236
"Bubaque";2020;3;"BI";"C12BI4";"Bivalvia";1;127.388535031847
"Bubaque";2020;3;"BI";"C12BI5";"Bivalvia";2;254.777070063694
"Bubaque";2020;3;"BI";"C12BI6";"Bivalvia";9;1146.49681528662
"Bubaque";2020;3;"BI";"C12BI7";"Bivalvia";3;382.165605095541
"Bubaque";2020;3;"BI";"C12BI8";"Bivalvia";2;254.777070063694
"Bubaque";2020;3;"BI";"C12BI9";"Bivalvia";3;382.165605095541
"Bubaque";2020;3;"E";"C12E1";"Bivalvia";2;254.777070063694
"Bubaque";2020;3;"E";"C12E10";"Bivalvia";1;127.388535031847
"Bubaque";2020;3;"E";"C12E11";"Bivalvia";0;0
"Bubaque";2020;3;"E";"C12E12";"Bivalvia";2;254.777070063694
"Bubaque";2020;3;"E";"C12E2";"Bivalvia";5;636.942675159236
"Bubaque";2020;3;"E";"C12E3";"Bivalvia";5;636.942675159236
"Bubaque";2020;3;"E";"C12E4";"Bivalvia";1;127.388535031847
"Bubaque";2020;3;"E";"C12E5";"Bivalvia";0;0
"Bubaque";2020;3;"E";"C12E6";"Bivalvia";9;1146.49681528662
"Bubaque";2020;3;"E";"C12E7";"Bivalvia";1;127.388535031847
"Bubaque";2020;3;"E";"C12E8";"Bivalvia";0;0
"Bubaque";2020;3;"E";"C12E9";"Bivalvia";0;0
"Orango";2018;10;"AD";"C12T0";"Bivalvia";2;176.991150442478
"Orango";2019;3;"AD";"C12T1";"Bivalvia";11;973.451327433628
"Orango";2019;10;"AD";"C12T2";"Bivalvia";8;707.964601769911
"Orango";2019;3;"AD";"C13T1";"Bivalvia";7;619.469026548673
"Orango";2019;10;"AD";"C13T2";"Bivalvia";12;1061.94690265487
"Orango";2019;10;"AD";"C14T2";"Bivalvia";18;1592.9203539823
"Orango";2019;3;"AD";"C15T1";"Bivalvia";9;796.460176991151
"Orango";2019;10;"AD";"C15T2";"Bivalvia";0;0
"Orango";2018;10;"AD";"C16T0";"Bivalvia";6;530.973451327434
"Orango";2019;3;"AD";"C16T1";"Bivalvia";21;1858.40707964602
"Orango";2019;10;"AD";"C16T2";"Bivalvia";12;1061.94690265487
"Orango";2019;3;"AD";"C21T1";"Bivalvia";20;1769.91150442478
"Orango";2019;10;"AD";"C21T2";"Bivalvia";17;1504.42477876106
"Orango";2018;10;"AD";"C22T0";"Bivalvia";7;619.469026548673
"Orango";2019;3;"AD";"C22T1";"Bivalvia";22;1946.90265486726
"Orango";2019;10;"AD";"C22T2";"Bivalvia";19;1681.41592920354
"Orango";2019;10;"AD";"C23T2";"Bivalvia";16;1415.92920353982
"Orango";2018;10;"AD";"C24T0";"Bivalvia";3;265.486725663717
"Orango";2019;3;"AD";"C24T1";"Bivalvia";21;1858.40707964602
"Orango";2019;10;"AD";"C24T2";"Bivalvia";22;1946.90265486726
"Orango";2018;10;"AD";"C25T0";"Bivalvia";5;442.477876106195
"Orango";2019;3;"AD";"C25T1";"Bivalvia";14;1238.93805309735
"Orango";2019;10;"AD";"C25T2";"Bivalvia";21;1858.40707964602
"Orango";2019;3;"AD";"C26T1";"Bivalvia";15;1327.43362831858
"Orango";2019;10;"AD";"C26T2";"Bivalvia";12;1061.94690265487
"Formosa";2018;2;"A";"C2A1";"Bivalvia";2;254.777070063694
"Formosa";2018;2;"A";"C2A10";"Bivalvia";4;509.554140127389
"Formosa";2018;2;"A";"C2A11";"Bivalvia";0;0
"Formosa";2018;2;"A";"C2A12";"Bivalvia";11;1401.27388535032
"Formosa";2018;2;"A";"C2A13";"Bivalvia";5;636.942675159236
"Formosa";2018;2;"A";"C2A14";"Bivalvia";8;1019.10828025478
"Formosa";2018;2;"A";"C2A15";"Bivalvia";5;636.942675159236
"Formosa";2018;2;"A";"C2A16";"Bivalvia";3;382.165605095541
"Formosa";2018;2;"A";"C2A2";"Bivalvia";1;127.388535031847
"Formosa";2018;2;"A";"C2A3";"Bivalvia";6;764.331210191083
"Formosa";2018;2;"A";"C2A4";"Bivalvia";6;764.331210191083
"Formosa";2018;2;"A";"C2A5";"Bivalvia";13;1656.05095541401
"Formosa";2018;2;"A";"C2A6";"Bivalvia";7;891.71974522293
"Formosa";2018;2;"A";"C2A7";"Bivalvia";16;2038.21656050955
"Formosa";2018;2;"A";"C2A8";"Bivalvia";2;254.777070063694
"Formosa";2018;2;"A";"C2A9";"Bivalvia";0;0
"Formosa";2018;2;"AB";"C2AB1";"Bivalvia";12;1528.66242038217
"Formosa";2018;2;"AB";"C2AB10";"Bivalvia";6;764.331210191083
"Formosa";2018;2;"AB";"C2AB11";"Bivalvia";5;636.942675159236
"Formosa";2018;2;"AB";"C2AB12";"Bivalvia";3;382.165605095541
"Formosa";2018;2;"AB";"C2AB13";"Bivalvia";0;0
"Formosa";2018;2;"AB";"C2AB14";"Bivalvia";1;127.388535031847
"Formosa";2018;2;"AB";"C2AB15";"Bivalvia";1;127.388535031847
"Formosa";2018;2;"AB";"C2AB16";"Bivalvia";4;509.554140127389
"Formosa";2018;2;"AB";"C2AB2";"Bivalvia";17;2165.6050955414
"Formosa";2018;2;"AB";"C2AB3";"Bivalvia";8;1019.10828025478
"Formosa";2018;2;"AB";"C2AB4";"Bivalvia";7;891.71974522293
"Formosa";2018;2;"AB";"C2AB5";"Bivalvia";3;382.165605095541
"Formosa";2018;2;"AB";"C2AB6";"Bivalvia";3;382.165605095541
"Formosa";2018;2;"AB";"C2AB7";"Bivalvia";1;127.388535031847
"Formosa";2018;2;"AB";"C2AB8";"Bivalvia";2;254.777070063694
"Formosa";2018;2;"AB";"C2AB9";"Bivalvia";2;254.777070063694
"Bubaque";2018;3;"BI";"C2BI1";"Bivalvia";13;1656.05095541401
"Bubaque";2018;3;"BI";"C2BI10";"Bivalvia";2;254.777070063694
"Bubaque";2018;3;"BI";"C2BI11";"Bivalvia";2;254.777070063694
"Bubaque";2018;3;"BI";"C2BI12";"Bivalvia";5;636.942675159236
"Bubaque";2018;3;"BI";"C2BI13";"Bivalvia";3;382.165605095541
"Bubaque";2018;3;"BI";"C2BI14";"Bivalvia";1;127.388535031847
"Bubaque";2018;3;"BI";"C2BI15";"Bivalvia";4;509.554140127389
"Bubaque";2018;3;"BI";"C2BI16";"Bivalvia";0;0
"Bubaque";2018;3;"BI";"C2BI2";"Bivalvia";7;891.71974522293
"Bubaque";2018;3;"BI";"C2BI3";"Bivalvia";9;1146.49681528662
"Bubaque";2018;3;"BI";"C2BI4";"Bivalvia";11;1401.27388535032
"Bubaque";2018;3;"BI";"C2BI5";"Bivalvia";13;1656.05095541401
"Bubaque";2018;3;"BI";"C2BI6";"Bivalvia";6;764.331210191083
"Bubaque";2018;3;"BI";"C2BI7";"Bivalvia";5;636.942675159236
"Bubaque";2018;3;"BI";"C2BI8";"Bivalvia";6;764.331210191083
"Bubaque";2018;3;"BI";"C2BI9";"Bivalvia";8;1019.10828025478
"Bubaque";2018;3;"BR";"C2BR1";"Bivalvia";0;0
"Bubaque";2018;3;"BR";"C2BR10";"Bivalvia";0;0
"Bubaque";2018;3;"BR";"C2BR11";"Bivalvia";2;254.777070063694
"Bubaque";2018;3;"BR";"C2BR12";"Bivalvia";2;254.777070063694
"Bubaque";2018;3;"BR";"C2BR13";"Bivalvia";2;254.777070063694
"Bubaque";2018;3;"BR";"C2BR14";"Bivalvia";0;0
"Bubaque";2018;3;"BR";"C2BR15";"Bivalvia";0;0
"Bubaque";2018;3;"BR";"C2BR16";"Bivalvia";0;0
"Bubaque";2018;3;"BR";"C2BR2";"Bivalvia";0;0
"Bubaque";2018;3;"BR";"C2BR3";"Bivalvia";0;0
"Bubaque";2018;3;"BR";"C2BR4";"Bivalvia";1;127.388535031847
"Bubaque";2018;3;"BR";"C2BR5";"Bivalvia";1;127.388535031847
"Bubaque";2018;3;"BR";"C2BR6";"Bivalvia";0;0
"Bubaque";2018;3;"BR";"C2BR7";"Bivalvia";1;127.388535031847
"Bubaque";2018;3;"BR";"C2BR8";"Bivalvia";3;382.165605095541
"Bubaque";2018;3;"BR";"C2BR9";"Bivalvia";1;127.388535031847
"Bubaque";2018;3;"E";"C2E1";"Bivalvia";0;0
"Bubaque";2018;3;"E";"C2E10";"Bivalvia";1;127.388535031847
"Bubaque";2018;3;"E";"C2E11";"Bivalvia";3;382.165605095541
"Bubaque";2018;3;"E";"C2E12";"Bivalvia";0;0
"Bubaque";2018;3;"E";"C2E13";"Bivalvia";0;0
"Bubaque";2018;3;"E";"C2E14";"Bivalvia";0;0
"Bubaque";2018;3;"E";"C2E15";"Bivalvia";1;127.388535031847
"Bubaque";2018;3;"E";"C2E16";"Bivalvia";0;0
"Bubaque";2018;3;"E";"C2E2";"Bivalvia";1;127.388535031847
"Bubaque";2018;3;"E";"C2E3";"Bivalvia";2;254.777070063694
"Bubaque";2018;3;"E";"C2E4";"Bivalvia";1;127.388535031847
"Bubaque";2018;3;"E";"C2E5";"Bivalvia";0;0
"Bubaque";2018;3;"E";"C2E6";"Bivalvia";2;254.777070063694
"Bubaque";2018;3;"E";"C2E7";"Bivalvia";0;0
"Bubaque";2018;3;"E";"C2E8";"Bivalvia";2;254.777070063694
"Bubaque";2018;3;"E";"C2E9";"Bivalvia";3;382.165605095541
"Orango";2018;10;"AD";"C31T0";"Bivalvia";7;619.469026548673
"Orango";2019;3;"AD";"C31T1";"Bivalvia";20;1769.91150442478
"Orango";2019;10;"AD";"C31T2";"Bivalvia";15;1327.43362831858
"Orango";2018;10;"AD";"C32T0";"Bivalvia";9;796.460176991151
"Orango";2019;3;"AD";"C32T1";"Bivalvia";15;1327.43362831858
"Orango";2019;10;"AD";"C32T2";"Bivalvia";12;1061.94690265487
"Orango";2018;10;"AD";"C33T0";"Bivalvia";7;619.469026548673
"Orango";2019;3;"AD";"C33T1";"Bivalvia";4;353.982300884956
"Orango";2019;10;"AD";"C33T2";"Bivalvia";12;1061.94690265487
"Orango";2019;3;"AD";"C34T1";"Bivalvia";5;442.477876106195
"Orango";2019;10;"AD";"C34T2";"Bivalvia";8;707.964601769911
"Orango";2019;3;"AD";"C35T1";"Bivalvia";1;88.4955752212389
"Orango";2019;10;"AD";"C35T2";"Bivalvia";9;796.460176991151
"Orango";2019;3;"AD";"C36T1";"Bivalvia";14;1238.93805309735
"Orango";2019;10;"AD";"C36T2";"Bivalvia";8;707.964601769911
"Formosa";2018;10;"A";"C3A1";"Bivalvia";6;764.331210191083
"Formosa";2018;10;"A";"C3A10";"Bivalvia";0;0
"Formosa";2018;10;"A";"C3A11";"Bivalvia";1;127.388535031847
"Formosa";2018;10;"A";"C3A12";"Bivalvia";2;254.777070063694
"Formosa";2018;10;"A";"C3A2";"Bivalvia";9;1146.49681528662
"Formosa";2018;10;"A";"C3A3";"Bivalvia";10;1273.88535031847
"Formosa";2018;10;"A";"C3A4";"Bivalvia";5;636.942675159236
"Formosa";2018;10;"A";"C3A5";"Bivalvia";1;127.388535031847
"Formosa";2018;10;"A";"C3A6";"Bivalvia";3;382.165605095541
"Formosa";2018;10;"A";"C3A7";"Bivalvia";0;0
"Formosa";2018;10;"A";"C3A8";"Bivalvia";7;891.71974522293
"Formosa";2018;10;"A";"C3A9";"Bivalvia";0;0
"Formosa";2018;11;"AB";"C3AB1";"Bivalvia";5;636.942675159236
"Formosa";2018;11;"AB";"C3AB10";"Bivalvia";1;127.388535031847
"Formosa";2018;11;"AB";"C3AB11";"Bivalvia";3;382.165605095541
"Formosa";2018;11;"AB";"C3AB12";"Bivalvia";2;254.777070063694
"Formosa";2018;11;"AB";"C3AB2";"Bivalvia";0;0
"Formosa";2018;11;"AB";"C3AB3";"Bivalvia";4;509.554140127389
"Formosa";2018;11;"AB";"C3AB4";"Bivalvia";3;382.165605095541
"Formosa";2018;11;"AB";"C3AB5";"Bivalvia";1;127.388535031847
"Formosa";2018;11;"AB";"C3AB6";"Bivalvia";2;254.777070063694
"Formosa";2018;11;"AB";"C3AB7";"Bivalvia";5;636.942675159236
"Formosa";2018;11;"AB";"C3AB8";"Bivalvia";2;254.777070063694
"Formosa";2018;11;"AB";"C3AB9";"Bivalvia";2;254.777070063694
"Bubaque";2018;10;"BI";"C3BI1";"Bivalvia";3;382.165605095541
"Bubaque";2018;10;"BI";"C3BI10";"Bivalvia";1;127.388535031847
"Bubaque";2018;10;"BI";"C3BI11";"Bivalvia";1;127.388535031847
"Bubaque";2018;10;"BI";"C3BI12";"Bivalvia";0;0
"Bubaque";2018;10;"BI";"C3BI2";"Bivalvia";1;127.388535031847
"Bubaque";2018;10;"BI";"C3BI3";"Bivalvia";3;382.165605095541
"Bubaque";2018;10;"BI";"C3BI4";"Bivalvia";2;254.777070063694
"Bubaque";2018;10;"BI";"C3BI5";"Bivalvia";0;0
"Bubaque";2018;10;"BI";"C3BI6";"Bivalvia";4;509.554140127389
"Bubaque";2018;10;"BI";"C3BI7";"Bivalvia";1;127.388535031847
"Bubaque";2018;10;"BI";"C3BI8";"Bivalvia";0;0
"Bubaque";2018;10;"BI";"C3BI9";"Bivalvia";1;127.388535031847
"Bubaque";2018;10;"BR";"C3BR1";"Bivalvia";0;0
"Bubaque";2018;10;"BR";"C3BR10";"Bivalvia";0;0
"Bubaque";2018;10;"BR";"C3BR11";"Bivalvia";0;0
"Bubaque";2018;10;"BR";"C3BR12";"Bivalvia";4;509.554140127389
"Bubaque";2018;10;"BR";"C3BR2";"Bivalvia";0;0
"Bubaque";2018;10;"BR";"C3BR3";"Bivalvia";0;0
"Bubaque";2018;10;"BR";"C3BR4";"Bivalvia";0;0
"Bubaque";2018;10;"BR";"C3BR5";"Bivalvia";0;0
"Bubaque";2018;10;"BR";"C3BR6";"Bivalvia";2;254.777070063694
"Bubaque";2018;10;"BR";"C3BR7";"Bivalvia";0;0
"Bubaque";2018;10;"BR";"C3BR8";"Bivalvia";0;0
"Bubaque";2018;10;"BR";"C3BR9";"Bivalvia";1;127.388535031847
"Bubaque";2018;10;"E";"C3E1";"Bivalvia";0;0
"Bubaque";2018;10;"E";"C3E10";"Bivalvia";1;127.388535031847
"Bubaque";2018;10;"E";"C3E11";"Bivalvia";1;127.388535031847
"Bubaque";2018;10;"E";"C3E12";"Bivalvia";2;254.777070063694
"Bubaque";2018;10;"E";"C3E2";"Bivalvia";2;254.777070063694
"Bubaque";2018;10;"E";"C3E3";"Bivalvia";1;127.388535031847
"Bubaque";2018;10;"E";"C3E4";"Bivalvia";0;0
"Bubaque";2018;10;"E";"C3E5";"Bivalvia";0;0
"Bubaque";2018;10;"E";"C3E6";"Bivalvia";0;0
"Bubaque";2018;10;"E";"C3E7";"Bivalvia";2;254.777070063694
"Bubaque";2018;10;"E";"C3E8";"Bivalvia";1;127.388535031847
"Bubaque";2018;10;"E";"C3E9";"Bivalvia";0;0
"Orango";2019;3;"AD";"C41T1";"Bivalvia";15;1327.43362831858
"Orango";2019;10;"AD";"C41T2";"Bivalvia";6;530.973451327434
"Orango";2018;10;"AD";"C42T0";"Bivalvia";4;353.982300884956
"Orango";2019;3;"AD";"C42T1";"Bivalvia";5;442.477876106195
"Orango";2019;10;"AD";"C42T2";"Bivalvia";3;265.486725663717
"Orango";2019;3;"AD";"C43T1";"Bivalvia";14;1238.93805309735
"Orango";2019;10;"AD";"C43T2";"Bivalvia";11;973.451327433628
"Orango";2018;10;"AD";"C44T0";"Bivalvia";15;1327.43362831858
"Orango";2019;10;"AD";"C44T2";"Bivalvia";14;1238.93805309735
"Orango";2019;3;"AD";"C45T1";"Bivalvia";9;796.460176991151
"Orango";2019;10;"AD";"C45T2";"Bivalvia";5;442.477876106195
"Orango";2018;10;"AD";"C46T0";"Bivalvia";2;176.991150442478
"Orango";2019;3;"AD";"C46T1";"Bivalvia";18;1592.9203539823
"Orango";2019;10;"AD";"C46T2";"Bivalvia";2;176.991150442478
"Bubaque";2018;11;"BI";"C4BI1";"Bivalvia";1;127.388535031847
"Bubaque";2018;11;"BI";"C4BI10";"Bivalvia";8;1019.10828025478
"Bubaque";2018;11;"BI";"C4BI11";"Bivalvia";2;254.777070063694
"Bubaque";2018;11;"BI";"C4BI12";"Bivalvia";2;254.777070063694
"Bubaque";2018;11;"BI";"C4BI2";"Bivalvia";0;0
"Bubaque";2018;11;"BI";"C4BI3";"Bivalvia";2;254.777070063694
"Bubaque";2018;11;"BI";"C4BI4";"Bivalvia";0;0
"Bubaque";2018;11;"BI";"C4BI5";"Bivalvia";0;0
"Bubaque";2018;11;"BI";"C4BI6";"Bivalvia";0;0
"Bubaque";2018;11;"BI";"C4BI7";"Bivalvia";6;764.331210191083
"Bubaque";2018;11;"BI";"C4BI8";"Bivalvia";1;127.388535031847
"Bubaque";2018;11;"BI";"C4BI9";"Bivalvia";8;1019.10828025478
"Bubaque";2018;11;"BR";"C4BR1";"Bivalvia";0;0
"Bubaque";2018;11;"BR";"C4BR10";"Bivalvia";0;0
"Bubaque";2018;11;"BR";"C4BR11";"Bivalvia";2;254.777070063694
"Bubaque";2018;11;"BR";"C4BR12";"Bivalvia";0;0
"Bubaque";2018;11;"BR";"C4BR2";"Bivalvia";0;0
"Bubaque";2018;11;"BR";"C4BR3";"Bivalvia";0;0
"Bubaque";2018;11;"BR";"C4BR4";"Bivalvia";1;127.388535031847
"Bubaque";2018;11;"BR";"C4BR5";"Bivalvia";0;0
"Bubaque";2018;11;"BR";"C4BR6";"Bivalvia";2;254.777070063694
"Bubaque";2018;11;"BR";"C4BR7";"Bivalvia";0;0
"Bubaque";2018;11;"BR";"C4BR8";"Bivalvia";0;0
"Bubaque";2018;11;"BR";"C4BR9";"Bivalvia";0;0
"Bubaque";2018;11;"E";"C4E1";"Bivalvia";0;0
"Bubaque";2018;11;"E";"C4E10";"Bivalvia";0;0
"Bubaque";2018;11;"E";"C4E11";"Bivalvia";0;0
"Bubaque";2018;11;"E";"C4E12";"Bivalvia";0;0
"Bubaque";2018;11;"E";"C4E2";"Bivalvia";0;0
"Bubaque";2018;11;"E";"C4E3";"Bivalvia";1;127.388535031847
"Bubaque";2018;11;"E";"C4E4";"Bivalvia";0;0
"Bubaque";2018;11;"E";"C4E5";"Bivalvia";2;254.777070063694
"Bubaque";2018;11;"E";"C4E6";"Bivalvia";0;0
"Bubaque";2018;11;"E";"C4E7";"Bivalvia";2;254.777070063694
"Bubaque";2018;11;"E";"C4E8";"Bivalvia";1;127.388535031847
"Bubaque";2018;11;"E";"C4E9";"Bivalvia";0;0
"Orango";2018;10;"AD";"C51T0";"Bivalvia";4;353.982300884956
"Orango";2019;3;"AD";"C51T1";"Bivalvia";20;1769.91150442478
"Orango";2019;10;"AD";"C51T2";"Bivalvia";9;796.460176991151
"Orango";2018;10;"AD";"C52T0";"Bivalvia";5;442.477876106195
"Orango";2019;3;"AD";"C52T1";"Bivalvia";14;1238.93805309735
"Orango";2019;10;"AD";"C52T2";"Bivalvia";7;619.469026548673
"Orango";2018;10;"AD";"C53T0";"Bivalvia";7;619.469026548673
"Orango";2019;3;"AD";"C53T1";"Bivalvia";13;1150.44247787611
"Orango";2019;10;"AD";"C53T2";"Bivalvia";5;442.477876106195
"Orango";2018;10;"AD";"C54T0";"Bivalvia";6;530.973451327434
"Orango";2019;3;"AD";"C54T1";"Bivalvia";11;973.451327433628
"Orango";2019;10;"AD";"C54T2";"Bivalvia";8;707.964601769911
"Orango";2018;10;"AD";"C55T0";"Bivalvia";6;530.973451327434
"Orango";2019;3;"AD";"C55T1";"Bivalvia";7;619.469026548673
"Orango";2019;10;"AD";"C55T2";"Bivalvia";8;707.964601769911
"Orango";2019;10;"AD";"C56T2";"Bivalvia";14;1238.93805309735
"Formosa";2018;12;"A";"C5A1";"Bivalvia";0;0
"Formosa";2018;12;"A";"C5A10";"Bivalvia";12;1528.66242038217
"Formosa";2018;12;"A";"C5A11";"Bivalvia";1;127.388535031847
"Formosa";2018;12;"A";"C5A12";"Bivalvia";4;509.554140127389
"Formosa";2018;12;"A";"C5A2";"Bivalvia";1;127.388535031847
"Formosa";2018;12;"A";"C5A3";"Bivalvia";0;0
"Formosa";2018;12;"A";"C5A4";"Bivalvia";1;127.388535031847
"Formosa";2018;12;"A";"C5A5";"Bivalvia";3;382.165605095541
"Formosa";2018;12;"A";"C5A6";"Bivalvia";5;636.942675159236
"Formosa";2018;12;"A";"C5A7";"Bivalvia";0;0
"Formosa";2018;12;"A";"C5A8";"Bivalvia";2;254.777070063694
"Formosa";2018;12;"A";"C5A9";"Bivalvia";4;509.554140127389
"Formosa";2018;12;"AB";"C5AB1";"Bivalvia";1;127.388535031847
"Formosa";2018;12;"AB";"C5AB10";"Bivalvia";2;254.777070063694
"Formosa";2018;12;"AB";"C5AB11";"Bivalvia";0;0
"Formosa";2018;12;"AB";"C5AB12";"Bivalvia";4;509.554140127389
"Formosa";2018;12;"AB";"C5AB2";"Bivalvia";6;764.331210191083
"Formosa";2018;12;"AB";"C5AB3";"Bivalvia";3;382.165605095541
"Formosa";2018;12;"AB";"C5AB4";"Bivalvia";5;636.942675159236
"Formosa";2018;12;"AB";"C5AB5";"Bivalvia";7;891.71974522293
"Formosa";2018;12;"AB";"C5AB6";"Bivalvia";2;254.777070063694
"Formosa";2018;12;"AB";"C5AB7";"Bivalvia";0;0
"Formosa";2018;12;"AB";"C5AB8";"Bivalvia";1;127.388535031847
"Formosa";2018;12;"AB";"C5AB9";"Bivalvia";0;0
"Bubaque";2018;12;"BI";"C5BI1";"Bivalvia";2;254.777070063694
"Bubaque";2018;12;"BI";"C5BI10";"Bivalvia";2;254.777070063694
"Bubaque";2018;12;"BI";"C5BI11";"Bivalvia";1;127.388535031847
"Bubaque";2018;12;"BI";"C5BI12";"Bivalvia";1;127.388535031847
"Bubaque";2018;12;"BI";"C5BI2";"Bivalvia";6;764.331210191083
"Bubaque";2018;12;"BI";"C5BI3";"Bivalvia";2;254.777070063694
"Bubaque";2018;12;"BI";"C5BI4";"Bivalvia";12;1528.66242038217
"Bubaque";2018;12;"BI";"C5BI5";"Bivalvia";16;2038.21656050955
"Bubaque";2018;12;"BI";"C5BI6";"Bivalvia";7;891.71974522293
"Bubaque";2018;12;"BI";"C5BI7";"Bivalvia";1;127.388535031847
"Bubaque";2018;12;"BI";"C5BI8";"Bivalvia";1;127.388535031847
"Bubaque";2018;12;"BI";"C5BI9";"Bivalvia";0;0
"Bubaque";2018;12;"BR";"C5BR1";"Bivalvia";0;0
"Bubaque";2018;12;"BR";"C5BR10";"Bivalvia";3;382.165605095541
